	AT_vs_LM98	AT_vs_LUv2	LM98_vs_AT	LM98_vs_LUv2	LUv2_vs_AT	LUv2_vs_LM98
Lus10004456	1	1	1	1	1	1
Lus10015298	0	0	0	0	1	0
Lus10008347	1	0	1	1	1	1
Lus10001587	1	1	1	1	1	1
Lus10022434	1	1	1	1	1	0
Lus10011017	0	0	0	0	1	0
Lus10014244	0	0	0	0	1	1
Lus10008783	1	1	0	0	1	1
Lus10013724	0	0	0	0	1	1
Lus10006942	0	0	0	0	1	1
Lus10022381	0	1	0	1	1	1
Lus10032693	0	0	0	0	1	1
Lus10015311	1	1	0	0	1	1
Lus10010229	0	1	0	1	1	1
Lus10014639	1	1	1	1	1	1
Lus10036832	1	1	1	1	1	1
Lus10017606	1	1	1	0	1	1
Lus10008463	1	1	1	1	1	1
Lus10043250	1	1	0	0	1	1
Lus10033873	0	0	1	1	1	1
Lus10034884	1	1	1	1	1	1
Lus10042590	1	1	1	1	1	1
Lus10020539	1	0	1	1	1	1
Lus10009940	1	1	1	1	1	1
Lus10016859	1	1	1	1	1	1
Lus10019626	0	1	1	1	1	1
Lus10002972	0	1	1	0	1	1
Lus10011529	0	0	1	1	1	1
Lus10024898	1	1	1	1	1	1
Lus10035739	1	0	1	1	1	0
Lus10036279	1	0	1	1	1	1
Lus10011949	1	1	1	1	1	0
Lus10039891	1	0	1	0	1	0
Lus10010943	1	1	1	1	1	1
Lus10043299	1	1	1	0	1	1
Lus10003795	1	1	1	1	1	1
Lus10021120	1	0	1	1	1	1
Lus10020410	1	0	1	1	1	1
Lus10003689	1	1	1	1	1	1
Lus10035960	1	0	1	1	1	1
Lus10013864	0	0	0	0	1	1
Lus10030538	0	0	0	0	1	1
Lus10003753	1	0	0	1	1	1
Lus10033331	0	0	1	1	1	1
Lus10015153	0	0	1	1	1	1
Lus10022180	1	1	1	1	1	1
Lus10009082	1	1	1	1	1	1
Lus10038190	1	1	0	0	1	0
Lus10026790	1	0	1	1	1	1
Lus10032781	1	1	1	1	1	1
Lus10009038	1	1	1	1	1	1
Lus10009721	1	1	1	1	1	1
Lus10015463	1	1	1	1	1	1
Lus10033153	1	1	1	1	1	1
Lus10012224	1	1	0	0	1	1
Lus10017096	1	1	1	1	1	1
Lus10006003	1	1	1	1	1	1
Lus10023993	1	1	1	1	1	0
Lus10002163	1	1	1	1	1	1
Lus10009355	1	0	0	0	1	1
Lus10020459	1	1	1	1	1	1
Lus10028161	1	1	1	1	1	1
Lus10032803	1	1	1	1	1	1
Lus10003743	1	1	1	1	1	1
Lus10035451	1	1	1	1	1	1
Lus10041118	0	0	1	1	1	1
Lus10008603	1	1	0	0	1	1
Lus10029234	1	1	0	0	1	1
Lus10019718	1	1	0	0	1	1
Lus10026763	1	1	0	0	1	1
Lus10024975	1	1	1	1	1	1
Lus10040443	1	0	1	0	1	1
Lus10005589	1	1	1	1	1	1
Lus10030806	1	1	1	1	1	1
Lus10041134	0	0	0	1	1	0
Lus10025527	1	1	1	1	1	0
Lus10015850	1	1	1	1	1	0
Lus10015473	1	1	1	1	1	0
Lus10002928	1	1	1	1	1	1
Lus10029472	1	1	1	1	1	1
Lus10029474	1	1	1	1	1	1
Lus10030793	1	1	1	1	1	1
Lus10008694	1	0	1	1	1	1
Lus10002114	0	0	0	0	1	1
Lus10037286	0	0	0	0	1	1
Lus10032986	0	0	0	0	1	1
Lus10005495	1	1	0	0	1	1
Lus10022721	0	1	0	1	1	1
Lus10029917	1	0	1	0	1	0
Lus10021182	1	1	0	0	1	1
Lus10003842	0	0	0	1	1	1
Lus10020293	1	1	1	1	1	1
Lus10032828	1	1	1	1	1	1
Lus10001603	1	1	1	1	1	1
Lus10022726	1	1	1	1	1	0
Lus10022666	0	0	1	1	1	1
Lus10003854	0	0	0	0	1	0
Lus10012432	0	0	1	1	1	1
Lus10026518	1	1	0	0	1	0
Lus10042180	0	0	0	0	1	1
Lus10029580	1	1	1	1	1	1
Lus10005355	1	1	1	0	1	1
Lus10012493	1	1	1	1	1	1
Lus10000756	1	1	0	0	1	0
Lus10023661	0	0	1	1	1	0
Lus10038256	1	1	1	1	1	1
Lus10032746	1	1	1	1	1	1
Lus10024242	0	0	1	1	1	1
Lus10028732	0	0	0	0	1	1
Lus10013895	1	1	1	1	1	1
Lus10001574	1	1	1	0	1	1
Lus10004394	1	1	1	0	1	0
Lus10029017	0	0	1	1	1	0
Lus10001172	1	1	1	1	1	1
Lus10009694	1	1	1	1	1	1
Lus10020595	1	0	1	1	1	0
Lus10042855	1	1	1	1	1	1
Lus10022168	1	1	1	0	1	1
Lus10013925	0	1	1	1	1	1
Lus10001042	1	1	1	1	1	0
Lus10003988	0	0	0	0	1	1
Lus10014629	0	0	1	1	1	1
Lus10006491	1	1	1	1	1	0
Lus10037508	1	1	1	1	1	1
Lus10023593	0	0	0	0	1	0
Lus10006548	1	1	1	1	1	1
Lus10032052	0	0	1	1	1	0
Lus10011689	1	1	1	1	1	0
Lus10030390	1	1	1	1	1	1
Lus10012708	1	0	1	1	1	1
Lus10029427	1	1	1	0	1	0
Lus10039519	1	1	1	1	1	0
Lus10000712	1	0	0	0	1	1
Lus10035742	1	1	1	1	1	1
Lus10017160	1	1	1	1	1	1
Lus10002864	0	1	1	1	1	1
Lus10021233	1	1	0	0	1	1
Lus10010601	0	0	0	0	1	1
Lus10017939	1	1	1	0	1	1
Lus10024742	1	1	0	0	1	1
Lus10000537	0	0	1	1	1	0
Lus10031438	1	1	1	1	1	0
Lus10017173	1	1	0	0	1	1
Lus10033500	1	0	1	1	1	0
Lus10021912	0	0	0	0	1	1
Lus10012864	1	0	1	0	1	0
Lus10022390	1	1	1	1	1	1
Lus10008302	1	1	1	1	1	1
Lus10017176	1	1	1	1	1	1
Lus10007027	0	0	0	0	1	0
Lus10029024	0	0	1	1	1	1
Lus10040244	0	0	0	0	1	1
Lus10013002	1	1	0	0	1	1
Lus10001459	1	0	0	0	1	1
Lus10012489	0	1	0	0	1	1
Lus10020411	1	1	0	1	1	1
Lus10036163	1	1	1	1	1	1
Lus10003303	0	0	1	0	1	0
Lus10029468	1	1	1	1	1	1
Lus10000827	1	1	1	1	1	1
Lus10027253	1	1	1	1	1	1
Lus10027249	1	1	1	1	1	1
Lus10032418	1	0	0	0	1	0
Lus10010397	1	1	0	0	1	1
Lus10000887	0	0	0	0	1	1
Lus10011025	0	1	0	0	1	1
Lus10008335	1	1	1	1	1	1
Lus10022508	1	0	0	0	1	0
Lus10011183	0	0	0	0	1	1
Lus10000600	1	1	0	0	1	1
Lus10017396	1	1	1	1	1	1
Lus10025582	1	1	1	1	1	0
Lus10007284	0	0	0	0	1	1
Lus10017745	1	1	0	0	1	1
Lus10027839	0	1	0	0	1	1
Lus10035657	1	1	1	1	1	1
Lus10000844	1	1	0	0	1	1
Lus10042230	0	0	0	1	1	1
Lus10002602	1	1	0	0	1	0
Lus10014048	1	1	0	0	1	1
Lus10022632	0	0	0	1	1	0
Lus10033034	1	1	0	1	1	1
Lus10041417	1	1	1	1	1	0
Lus10040730	1	1	1	0	1	1
Lus10001710	1	1	1	1	1	1
Lus10034980	1	1	1	1	1	1
Lus10012385	0	0	0	0	1	1
Lus10041338	1	1	1	1	1	1
Lus10006641	1	1	1	1	1	1
Lus10014154	1	1	1	1	1	1
Lus10039160	0	0	0	0	1	1
Lus10015644	1	0	1	1	1	1
Lus10012487	0	0	1	1	1	1
Lus10005512	1	1	1	1	1	1
Lus10025758	1	1	0	0	1	1
Lus10038684	1	1	1	0	1	1
Lus10031928	1	1	1	1	1	1
Lus10028693	0	0	1	1	1	1
Lus10002940	1	0	1	1	1	1
Lus10021791	1	1	0	0	1	1
Lus10007074	1	0	1	1	1	1
Lus10041550	1	0	0	0	1	1
Lus10032813	1	1	1	1	1	1
Lus10023572	1	1	1	1	1	0
Lus10025168	1	1	1	1	1	1
Lus10016644	1	0	0	0	1	0
Lus10037304	0	0	0	0	1	1
Lus10030665	1	1	1	0	1	1
Lus10026728	1	1	1	1	1	1
Lus10024550	1	1	1	1	1	1
Lus10019187	1	1	1	1	1	1
Lus10020733	1	0	1	1	1	1
Lus10008055	1	1	0	0	1	1
Lus10039936	1	1	1	1	1	1
Lus10010817	1	1	1	1	1	1
Lus10028755	1	1	1	1	1	1
Lus10033889	1	1	1	1	1	1
Lus10001745	1	0	0	0	1	1
Lus10020312	1	1	1	0	1	1
Lus10029866	1	1	1	1	1	1
Lus10027277	0	1	1	1	1	1
Lus10006154	1	1	1	1	1	1
Lus10030461	1	0	1	1	1	1
Lus10014421	1	0	1	1	1	1
Lus10032369	0	1	1	1	1	1
Lus10010719	0	1	0	1	1	1
Lus10020842	0	0	1	0	1	0
Lus10008932	0	0	0	1	1	1
Lus10013796	1	1	1	1	1	1
Lus10024775	0	1	0	0	1	0
Lus10024050	1	1	0	1	1	1
Lus10037479	1	1	1	1	1	1
Lus10018627	1	0	1	1	1	1
Lus10006572	1	1	0	0	1	1
Lus10010090	1	1	0	0	1	1
Lus10023952	1	1	0	0	1	1
Lus10042295	1	1	1	1	1	1
Lus10009401	0	1	1	1	1	1
Lus10036651	1	0	1	1	1	1
Lus10013906	0	0	0	0	1	1
Lus10019951	1	1	0	0	1	0
Lus10016463	0	1	0	0	1	1
Lus10009241	1	1	1	1	1	1
Lus10023774	0	0	1	1	1	1
Lus10011375	1	1	1	1	1	1
Lus10013496	1	0	1	1	1	1
Lus10023691	1	1	0	1	1	1
Lus10023387	1	1	1	1	1	1
Lus10001067	0	0	0	0	1	0
Lus10031304	1	0	1	1	1	1
Lus10025264	1	0	1	1	1	0
Lus10010501	1	1	1	1	1	1
Lus10015937	0	0	1	1	1	0
Lus10021695	1	1	1	1	1	1
Lus10025405	0	1	0	1	1	1
Lus10032398	1	1	1	1	1	1
Lus10005693	1	0	0	0	1	1
Lus10040700	0	0	0	0	1	1
Lus10035065	1	1	1	1	1	1
Lus10016152	1	1	1	1	1	1
Lus10004486	1	1	1	1	1	1
Lus10030335	1	1	1	1	1	1
Lus10042744	1	1	1	1	1	0
Lus10010323	1	1	1	1	1	1
Lus10034708	1	1	1	1	1	1
Lus10009143	1	0	0	1	1	1
Lus10014819	1	1	1	1	1	1
Lus10006294	0	0	0	0	1	1
Lus10008058	1	1	1	1	1	0
Lus10039525	0	1	1	1	1	1
Lus10026013	0	1	0	0	1	1
Lus10011921	1	1	1	1	1	1
Lus10038678	1	0	1	1	1	1
Lus10038645	1	1	1	1	1	1
Lus10001956	1	1	1	1	1	1
Lus10002356	1	1	0	0	1	1
Lus10009113	1	1	0	1	1	1
Lus10040028	1	1	1	1	1	1
Lus10003777	0	1	1	0	1	1
Lus10004428	0	0	0	0	1	1
Lus10040822	1	1	1	1	1	1
Lus10020766	0	0	1	1	1	1
Lus10037714	1	1	1	1	1	1
Lus10006620	1	0	0	0	1	1
Lus10011586	1	1	1	1	1	1
Lus10011719	1	1	1	1	1	1
Lus10005385	1	1	1	1	1	1
Lus10036789	0	0	1	1	1	1
Lus10016317	0	0	0	0	1	1
Lus10002737	0	0	0	1	1	0
Lus10008677	1	0	1	1	1	1
Lus10000552	0	1	1	1	1	1
Lus10003503	1	0	0	0	1	1
Lus10014002	1	1	1	1	1	1
Lus10005117	1	1	1	1	1	1
Lus10014427	0	0	0	0	1	1
Lus10006614	1	1	0	1	1	1
Lus10031081	1	1	1	1	1	1
Lus10042681	0	0	0	0	1	1
Lus10038422	1	1	1	1	1	1
Lus10024851	1	1	0	1	1	1
Lus10034573	1	1	0	0	1	1
Lus10039395	1	1	1	1	1	1
Lus10017139	1	1	0	0	1	0
Lus10024010	1	0	1	0	1	1
Lus10018349	1	1	1	1	1	0
Lus10038550	0	0	0	1	1	0
Lus10034655	1	1	0	0	1	1
Lus10011838	1	1	1	1	1	0
Lus10010790	0	0	0	0	1	1
Lus10030881	1	1	1	1	1	1
Lus10000925	1	1	1	1	1	0
Lus10006724	1	1	1	0	1	1
Lus10015421	1	1	0	1	1	1
Lus10031851	1	1	1	1	1	1
Lus10042573	0	0	1	1	1	1
Lus10029969	1	0	0	0	1	1
Lus10016831	1	0	1	1	1	1
Lus10025572	0	0	1	1	1	1
Lus10039328	1	1	1	1	1	1
Lus10032222	1	1	0	0	1	1
Lus10020907	1	1	1	0	1	1
Lus10019646	1	1	0	0	1	1
Lus10029765	0	1	1	1	1	0
Lus10026209	1	1	0	0	1	1
Lus10012148	1	1	1	1	1	1
Lus10012345	0	0	1	0	1	1
Lus10019338	0	0	1	1	1	1
Lus10014171	0	0	0	1	1	1
Lus10013537	1	1	1	0	1	0
Lus10015306	1	1	1	1	1	1
Lus10001987	1	0	0	0	1	1
Lus10015135	0	0	0	0	1	1
Lus10012211	1	1	1	0	1	1
Lus10031069	0	1	0	1	1	1
Lus10004097	1	1	1	1	1	1
Lus10017513	1	1	1	0	1	0
Lus10030586	0	0	0	0	1	1
Lus10034537	0	0	1	1	1	1
Lus10043006	1	1	1	1	1	1
Lus10006477	1	1	0	0	1	1
Lus10036398	1	1	1	1	1	1
Lus10037610	1	0	1	1	1	1
Lus10034305	1	1	1	1	1	1
Lus10014285	1	1	0	0	1	1
Lus10041357	0	0	0	0	1	1
Lus10042825	1	0	1	1	1	1
Lus10029313	0	0	1	1	1	1
Lus10036689	1	1	0	0	1	0
Lus10003746	0	0	0	0	1	1
Lus10032264	1	1	1	1	1	0
Lus10023872	1	1	1	1	1	0
Lus10039987	1	1	1	1	1	1
Lus10006010	1	1	1	1	1	1
Lus10021328	1	1	0	0	1	0
Lus10028513	1	1	1	1	1	1
Lus10030105	1	1	1	1	1	1
Lus10010502	1	1	1	0	1	1
Lus10004255	0	0	0	0	1	1
Lus10011585	1	1	0	0	1	0
Lus10012374	0	1	0	0	1	1
Lus10006919	1	0	1	1	1	1
Lus10005933	1	0	1	1	1	1
Lus10037525	0	0	0	0	1	1
Lus10032569	1	1	1	1	1	1
Lus10038066	0	1	0	0	1	1
Lus10029220	0	0	0	0	1	1
Lus10028094	1	1	1	1	1	0
Lus10013626	0	1	1	1	1	1
Lus10041854	1	0	0	0	1	1
Lus10034587	1	1	1	1	1	1
Lus10011019	1	1	1	1	1	1
Lus10015998	1	1	1	1	1	0
Lus10042912	0	0	0	0	1	1
Lus10011286	0	0	1	1	1	0
Lus10009961	1	1	0	1	1	1
Lus10014982	1	1	0	1	1	1
Lus10010602	1	0	1	1	1	1
Lus10008692	0	0	1	1	1	1
Lus10040014	1	1	1	1	1	1
Lus10024456	1	1	1	1	1	1
Lus10020098	1	1	1	1	1	1
Lus10005606	1	1	1	1	1	1
Lus10020736	1	1	0	0	1	1
Lus10016963	0	0	1	1	1	1
Lus10008019	0	1	0	0	1	1
Lus10016513	1	1	1	1	1	1
Lus10032702	1	1	1	1	1	1
Lus10006470	0	0	1	1	1	1
Lus10003096	0	0	0	0	1	1
Lus10004767	1	1	1	1	1	1
Lus10015205	1	1	1	1	1	1
Lus10007211	1	1	1	1	1	1
Lus10016746	1	1	1	1	1	1
Lus10019429	1	0	1	1	1	1
Lus10035647	1	1	0	0	1	1
Lus10025437	1	0	0	0	1	1
Lus10014731	1	1	1	1	1	1
Lus10031097	1	1	1	1	1	1
Lus10005194	1	1	1	1	1	1
Lus10029602	1	0	0	1	1	1
Lus10002914	1	1	1	1	1	0
Lus10017624	1	0	1	1	1	1
Lus10009306	1	1	0	0	1	1
Lus10001654	1	1	1	1	1	1
Lus10010270	1	1	1	1	1	0
Lus10032620	1	0	1	1	1	1
Lus10025435	1	1	1	1	1	1
Lus10018169	1	1	1	1	1	1
Lus10023646	1	1	1	1	1	1
Lus10032833	1	1	1	1	1	1
Lus10002140	0	0	1	1	1	1
Lus10042882	1	1	0	0	1	1
Lus10006013	1	1	1	1	1	1
Lus10024361	1	1	0	1	1	1
Lus10040599	1	1	1	1	1	1
Lus10022623	1	0	0	0	1	1
Lus10008809	0	0	0	0	1	1
Lus10006544	1	1	1	1	1	1
Lus10010777	0	0	1	1	1	1
Lus10021848	1	1	1	1	1	1
Lus10006165	1	1	1	1	1	1
Lus10017778	1	1	1	1	1	1
Lus10029636	1	1	1	1	1	0
Lus10006296	1	1	0	0	1	1
Lus10027367	0	0	1	1	1	1
Lus10023157	1	1	1	1	1	1
Lus10035414	1	1	1	1	1	1
Lus10033721	1	1	1	1	1	1
Lus10011280	0	0	0	0	1	1
Lus10015897	1	1	1	0	1	1
Lus10001567	1	0	1	1	1	1
Lus10008631	1	1	1	1	1	1
Lus10006409	1	1	0	0	1	1
Lus10033314	1	0	1	1	1	1
Lus10023822	1	1	1	1	1	1
Lus10032287	1	1	1	1	1	1
Lus10040248	1	1	1	1	1	1
Lus10032482	0	0	0	0	1	1
Lus10000953	1	1	1	1	1	1
Lus10035855	1	0	1	1	1	1
Lus10025989	1	1	0	1	1	1
Lus10033196	1	1	1	1	1	1
Lus10036068	1	1	1	1	1	1
Lus10037651	1	1	1	1	1	0
Lus10042687	0	0	0	0	1	1
Lus10032633	1	1	1	1	1	1
Lus10039453	0	1	0	0	1	1
Lus10015634	1	1	1	0	1	1
Lus10012412	0	0	0	0	1	0
Lus10015932	1	1	1	1	1	1
Lus10023027	0	1	0	1	1	0
Lus10015648	1	1	1	1	1	1
Lus10029853	1	1	0	0	1	1
Lus10011077	1	1	1	1	1	1
Lus10039565	1	1	0	1	1	1
Lus10015305	1	1	1	1	1	1
Lus10027451	1	1	1	1	1	1
Lus10039353	1	1	0	0	1	1
Lus10002761	0	0	1	1	1	0
Lus10004682	1	1	1	1	1	1
Lus10019014	1	1	1	0	1	0
Lus10024208	1	0	0	0	1	0
Lus10024995	0	0	0	0	1	1
Lus10032586	1	1	1	1	1	1
Lus10038942	1	1	1	0	1	0
Lus10007153	1	1	1	1	1	1
Lus10013429	1	1	1	1	1	1
Lus10009507	1	1	1	1	1	1
Lus10029943	1	0	1	1	1	1
Lus10006388	1	0	0	0	1	1
Lus10009570	1	1	1	1	1	1
Lus10028246	1	1	1	1	1	0
Lus10041090	0	0	0	1	1	1
Lus10000621	0	0	1	1	1	1
Lus10020203	0	0	0	0	1	0
Lus10003084	1	1	1	1	1	1
Lus10033549	1	1	1	1	1	1
Lus10042149	1	0	1	1	1	1
Lus10025407	0	1	1	1	1	1
Lus10014548	1	1	1	1	1	0
Lus10026455	1	1	1	1	1	1
Lus10018433	1	1	1	0	1	1
Lus10002461	0	0	0	0	1	1
Lus10013025	1	1	1	1	1	1
Lus10030321	1	1	1	1	1	1
Lus10015595	1	0	1	1	1	1
Lus10027024	0	0	0	0	1	1
Lus10011862	1	0	1	1	1	1
Lus10007729	1	1	1	1	1	1
Lus10035401	1	1	1	1	1	1
Lus10009403	1	1	1	1	1	1
Lus10001771	1	1	1	1	1	1
Lus10027407	1	1	1	0	1	0
Lus10028387	0	0	0	0	1	0
Lus10039356	1	1	1	1	1	0
Lus10011954	1	1	0	0	1	1
Lus10000605	0	0	1	1	1	1
Lus10019580	1	1	1	1	1	1
Lus10013281	1	0	1	1	1	1
Lus10007052	1	0	1	1	1	1
Lus10009137	1	1	0	0	1	0
Lus10042814	1	0	1	0	1	1
Lus10021380	1	1	1	0	1	1
Lus10021629	1	1	1	1	1	1
Lus10010911	1	1	1	1	1	0
Lus10025411	0	1	1	1	1	1
Lus10000903	1	1	1	1	1	0
Lus10019106	0	0	0	0	1	0
Lus10036752	1	1	1	1	1	1
Lus10019514	1	1	1	1	1	1
Lus10006924	0	0	1	1	1	1
Lus10011461	1	1	0	1	1	0
Lus10032678	1	1	1	1	1	1
Lus10022719	1	0	1	1	1	1
Lus10008153	1	1	1	1	1	1
Lus10027005	1	0	1	1	1	1
Lus10003001	1	0	1	1	1	1
Lus10040733	1	1	1	1	1	1
Lus10034928	1	1	1	1	1	1
Lus10006813	1	1	0	0	1	1
Lus10005821	1	1	1	1	1	1
Lus10028354	0	0	0	0	1	1
Lus10034719	1	1	0	0	1	1
Lus10007600	1	1	1	1	1	1
Lus10008435	1	1	1	1	1	1
Lus10005382	1	1	1	1	1	1
Lus10012524	1	1	1	1	1	1
Lus10039306	1	1	0	0	1	1
Lus10016520	0	0	0	0	1	1
Lus10032415	1	1	1	1	1	1
Lus10001548	1	1	1	1	1	1
Lus10027091	1	1	1	1	1	1
Lus10028521	1	1	1	1	1	1
Lus10012643	1	1	1	1	1	1
Lus10008831	1	1	1	1	1	1
Lus10033160	1	1	1	1	1	1
Lus10013651	1	1	1	1	1	1
Lus10030142	1	1	1	1	1	1
Lus10003396	1	1	1	1	1	1
